geoName,Anthony Albanese,Jim Chalmers,Katy Gallagher,Richard Marles,Penny Wong
Australian Capital Territory,100,100,100,33,100
New South Wales,73,33,3,7,24
Northern Territory,66,0,0,100,80
Tasmania,44,0,0,0,24
South Australia,43,29,27,0,21
Victoria,42,25,0,16,19
Queensland,36,27,0,12,10
Western Australia,32,16,0,7,8
